Адрес	Цена кв.метра в год, руб.	Координаты	Стоимость аренды 100кв.метров в месяц	lat	lng
Москва, ЦАО, р-н Хамовники, м. Спортивная, Малая Пироговская улица, 8	37 440 руб. за м² в год	{'lat': 55.72981799999999, 'lng': 37.5708928}	312000.0	55.72981799999999	37.5708928
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Малая Пироговская улица, 8	34 286 руб. за м² в год	{'lat': 55.72981799999999, 'lng': 37.5708928}	285716.6666666667	55.72981799999999	37.5708928
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 28	40 000 руб. за м² в год	{'lat': 55.7264857, 'lng': 37.5790867}	333333.3333333333	55.7264857	37.5790867
Москва, ЦАО, р-н Хамовники, м. Смоленская, Денежный переулок, 4	25 715 руб. за м² в год	{'lat': 55.74877730000001, 'lng': 37.5823873}	214291.66666666666	55.74877730000001	37.5823873
Москва, ЦАО, р-н Хамовники, м. Спортивная, Малая Пироговская улица, 8	34 286 руб. за м² в год	{'lat': 55.72981799999999, 'lng': 37.5708928}	285716.6666666667	55.72981799999999	37.5708928
Москва, ЦАО, р-н Хамовники, м. Спортивная, Большой Саввинский переулок, 16/14С7	30 000 руб. за м² в год	{'lat': 55.7310189, 'lng': 37.563656}	250000.0	55.7310189	37.563656
Москва, ЦАО, р-н Хамовники, м. Кропоткинская, переулок Малый Знаменский, 7/10с2	73 044 руб. за м² в год	{'lat': 55.744263, 'lng': 37.6004452}	608700.0	55.744263	37.6004452
Москва, ЦАО, р-н Хамовники, м. Кропоткинская, улица Волхонка, 7/6	44 860 руб. за м² в год	{'lat': 55.744263, 'lng': 37.6004452}	373833.3333333333	55.744263	37.6004452
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Смоленский бульвар, 7	от 26 667 ₽ за м² в год	{'lat': 55.74049189999999, 'lng': 37.5841971}	222225.0	55.74049189999999	37.5841971
Москва, ЦАО, р-н Хамовники, м. Кропоткинская, Всеволожский переулок, 5	от 46 957 ₽ за м² в год	{'lat': 55.742774, 'lng': 37.598022}	391308.3333333333	55.742774	37.598022
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Сеченовский переулок, 5С2	52 174 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	434783.3333333333	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 28	от 80 000 ₽ за м² в год	{'lat': 55.7264857, 'lng': 37.5790867}	666666.6666666666	55.7264857	37.5790867
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, переулок Пуговишников, 16	28 872 руб. за м² в год	{'lat': 55.72660399999999, 'lng': 37.580915}	240600.0	55.72660399999999	37.580915
Москва, ЦАО, р-н Хамовники, м. Киевская, 1-й Вражский переулок, 4	141 429 руб. за м² в год	{'lat': 55.73989, 'lng': 37.574189}	1178575.0	55.73989	37.574189
Москва, ЦАО, р-н Хамовники, м. Кропоткинская, Курсовой переулок, 6/1	29 589 руб. за м² в год	{'lat': 55.744263, 'lng': 37.6004452}	246575.0	55.744263	37.6004452
Москва, ЦАО, р-н Хамовники, м. Кропоткинская, улица Ленивка, 3С3	26 820 руб. за м² в год	{'lat': 55.744263, 'lng': 37.6004452}	223500.0	55.744263	37.6004452
Москва, ЦАО, р-н Хамовники, м. Кропоткинская, улица Ленивка, 3С3	26 824 руб. за м² в год	{'lat': 55.744263, 'lng': 37.6004452}	223533.33333333334	55.744263	37.6004452
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Олсуфьевский переулок, 2/4	24 743 руб. за м² в год	{'lat': 55.72660399999999, 'lng': 37.580915}	206191.66666666666	55.72660399999999	37.580915
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Смоленский бульвар, 7	54 670 руб. за м² в год	{'lat': 55.74049189999999, 'lng': 37.5841971}	455583.3333333333	55.74049189999999	37.5841971
Москва, ЦАО, р-н Хамовники, м. Спортивная, Комсомольский проспект, 24С1	103 615 руб. за м² в год	{'lat': 55.7282497, 'lng': 37.58018879999999}	863458.3333333334	55.7282497	37.58018879999999
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Сеченовский переулок, 5С2	от 30 000 ₽ за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	250000.0	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 17	34 615 руб. за м² в год	{'lat': 55.728128, 'lng': 37.586158}	288458.3333333333	55.728128	37.586158
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Сеченовский переулок, 5С2	от 27 000 ₽ за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	225000.0	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Спортивная, Комсомольский проспект, 44	32 812 руб. за м² в год	{'lat': 55.7208213, 'lng': 37.5724721}	273433.3333333333	55.7208213	37.5724721
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 17	40 385 руб. за м² в год	{'lat': 55.728128, 'lng': 37.586158}	336541.6666666667	55.728128	37.586158
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Фрунзенская набережная, 12	18 321 руб. за м² в год	{'lat': 55.7318858, 'lng': 37.59404540000001}	152675.0	55.7318858	37.59404540000001
