Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
61042;47646;1588;98;150;134;20;Хамовники;LINESTRING (37.557761 55.709377, 37.560313 55.711311);POINT (37.559 55.7103);myData.biz;55.709377;37.557761;55.711311;37.560313
61043;47646;1588;98;150;134;20;Хамовники;LINESTRING (37.560313 55.711311, 37.560467 55.711423);POINT (37.5604 55.7114);myData.biz;55.711311;37.560313;55.711423;37.560467
61044;47646;1588;98;150;134;20;Хамовники;LINESTRING (37.560467 55.711423, 37.560389 55.711461);POINT (37.5604 55.7114);myData.biz;55.711423;37.560467;55.711461;37.560389
61045;16990;566;35;53;48;7;Хамовники;LINESTRING (37.560389 55.711461, 37.560995 55.7119);POINT (37.5607 55.7117);myData.biz;55.711461;37.560389;55.7119;37.560995
61046;1126;37;2;3;3;0;Хамовники;LINESTRING (37.560995 55.7119, 37.561553 55.711662);POINT (37.5613 55.7118);myData.biz;55.7119;37.560995;55.711662;37.561553
61047;1126;37;2;3;3;0;Хамовники;LINESTRING (37.561553 55.711662, 37.565201 55.714397);POINT (37.5634 55.713);myData.biz;55.711662;37.561553;55.714397;37.565201
61048;45;1;0;0;0;0;Хамовники;LINESTRING (37.565201 55.714397, 37.565273 55.714414);POINT (37.5652 55.7144);myData.biz;55.714397;37.565201;55.714414;37.565273
61049;45;1;0;0;0;0;Хамовники;LINESTRING (37.565273 55.714414, 37.565461 55.714514);POINT (37.5654 55.7145);myData.biz;55.714414;37.565273;55.714514;37.565461
61050;45;1;0;0;0;0;Хамовники;LINESTRING (37.565461 55.714514, 37.565497 55.714533);POINT (37.5655 55.7145);myData.biz;55.714514;37.565461;55.714533;37.565497
61051;45;1;0;0;0;0;Хамовники;LINESTRING (37.565497 55.714533, 37.565518 55.714541);POINT (37.5655 55.7145);myData.biz;55.714533;37.565497;55.714541;37.565518
61052;45;1;0;0;0;0;Хамовники;LINESTRING (37.565518 55.714541, 37.565538 55.714549);POINT (37.5655 55.7145);myData.biz;55.714541;37.565518;55.714549;37.565538
61053;45;1;0;0;0;0;Хамовники;LINESTRING (37.565538 55.714549, 37.56566 55.714597);POINT (37.5656 55.7146);myData.biz;55.714549;37.565538;55.714597;37.56566
61054;45;1;0;0;0;0;Хамовники;LINESTRING (37.56566 55.714597, 37.565977 55.71443);POINT (37.5658 55.7145);myData.biz;55.714597;37.56566;55.71443;37.565977
61055;45;1;0;0;0;0;Хамовники;LINESTRING (37.565977 55.71443, 37.5661 55.714492);POINT (37.566 55.7145);myData.biz;55.71443;37.565977;55.714492;37.5661
61056;45;1;0;0;0;0;Хамовники;LINESTRING (37.5661 55.714492, 37.565992 55.71455);POINT (37.566 55.7145);myData.biz;55.714492;37.5661;55.71455;37.565992
61057;45;1;0;0;0;0;Хамовники;LINESTRING (37.565992 55.71455, 37.565965 55.714593);POINT (37.566 55.7146);myData.biz;55.71455;37.565992;55.714593;37.565965
61058;45;1;0;0;0;0;Хамовники;LINESTRING (37.565965 55.714593, 37.565968 55.714651);POINT (37.566 55.7146);myData.biz;55.714593;37.565965;55.714651;37.565968
61059;45;1;0;0;0;0;Хамовники;LINESTRING (37.565968 55.714651, 37.566202 55.714824);POINT (37.5661 55.7147);myData.biz;55.714651;37.565968;55.714824;37.566202
61060;45;1;0;0;0;0;Хамовники;LINESTRING (37.566202 55.714824, 37.566648 55.715154);POINT (37.5664 55.715);myData.biz;55.714824;37.566202;55.715154;37.566648
61061;45;1;0;0;0;0;Хамовники;LINESTRING (37.566648 55.715154, 37.567632 55.714598);POINT (37.5671 55.7149);myData.biz;55.715154;37.566648;55.714598;37.567632
61062;28888;962;59;91;81;12;Хамовники;LINESTRING (37.560389 55.711461, 37.560187 55.71131);POINT (37.5603 55.7114);myData.biz;55.711461;37.560389;55.71131;37.560187
61063;21508;716;44;68;60;9;Хамовники;LINESTRING (37.560187 55.71131, 37.559818 55.71132);POINT (37.56 55.7113);myData.biz;55.71131;37.560187;55.71132;37.559818
61064;21508;716;44;68;60;9;Хамовники;LINESTRING (37.559818 55.71132, 37.559448 55.71133);POINT (37.5596 55.7113);myData.biz;55.71132;37.559818;55.71133;37.559448
61065;21508;716;44;68;60;9;Хамовники;LINESTRING (37.559448 55.71133, 37.559365 55.711334);POINT (37.5594 55.7113);myData.biz;55.71133;37.559448;55.711334;37.559365
