Identif,MonthlyPeoples,DailyPeoples,HourlyPeoples_08_22,HourlyPeoples_08_10,HourlyPeoples_17_19,HourlyPeoples_22_08,DistrictName,WKT,HeatmapPoint,Author,lat1,lon1,lat2,lon2,CoordinateLan,CoordinateLng,P,RentCost,NormalizeRentCost,NormalizeTraffic,RelativeValue
5376,1768,58,3,5,4,0,Хамовники,"LINESTRING (37.560212 55.711558, 37.560389 55.711461)",POINT (37.5603 55.7115),myData.biz,55.711558,37.560212,55.711461,37.560389,55.7115,37.5603,0.0,-1.0,1.0,0.0010718787851875973,0.0
5377,448,14,0,1,1,0,Хамовники,"LINESTRING (37.557329 55.71273, 37.557609 55.712572)",POINT (37.5575 55.7127),myData.biz,55.71273,37.557329,55.712572,37.557609,55.7127,37.5575,0.0,-1.0,1.0,0.00025779363188056136,0.0
5378,15864,528,32,50,44,6,Хамовники,"LINESTRING (37.562593 55.714337, 37.562842 55.714038)",POINT (37.5627 55.7142),myData.biz,55.714337,37.562593,55.714038,37.562842,55.7142,37.5627,0.12226916550875548,312286.11111111107,0.4995793486786083,0.009765321452623944,0.032091360740637065
5379,15864,528,32,50,44,6,Хамовники,"LINESTRING (37.562842 55.714038, 37.562617 55.713879)",POINT (37.5627 55.714),myData.biz,55.714038,37.562842,55.713879,37.562617,55.714,37.5627,0.1197742281866978,312286.11111111107,0.4995793486786083,0.009765321452623944,0.03218257997377913
5380,15864,528,32,50,44,6,Хамовники,"LINESTRING (37.562617 55.713879, 37.562472 55.713626)",POINT (37.5625 55.7138),myData.biz,55.713879,37.562617,55.713626,37.562472,55.7138,37.5625,0.11626734310988521,-1.0,1.0,0.009765321452623944,0.0
5381,15864,528,32,50,44,6,Хамовники,"LINESTRING (37.562472 55.713626, 37.562307 55.713165)",POINT (37.5624 55.7134),myData.biz,55.713626,37.562472,55.713165,37.562307,55.7134,37.5624,0.11125483244965859,-1.0,1.0,0.009765321452623944,0.0
5382,15864,528,32,50,44,6,Хамовники,"LINESTRING (37.562307 55.713165, 37.56213 55.712908)",POINT (37.5622 55.713),myData.biz,55.713165,37.562307,55.712908,37.56213,55.713,37.5622,0.05,-1.0,1.0,0.009765321452623944,0.0
5383,15864,528,32,50,44,6,Хамовники,"LINESTRING (37.56213 55.712908, 37.561712 55.712502)",POINT (37.5619 55.7127),myData.biz,55.712908,37.56213,55.712502,37.561712,55.7127,37.5619,0.05,-1.0,1.0,0.009765321452623944,0.0
5384,15864,528,32,50,44,6,Хамовники,"LINESTRING (37.561712 55.712502, 37.561778 55.712466)",POINT (37.5617 55.7125),myData.biz,55.712502,37.561712,55.712466,37.561778,55.7125,37.5617,0.0,-1.0,1.0,0.009765321452623944,0.0
5385,15864,528,32,50,44,6,Хамовники,"LINESTRING (37.561778 55.712466, 37.560995 55.7119)",POINT (37.5614 55.7122),myData.biz,55.712466,37.561778,55.7119,37.560995,55.7122,37.5614,0.0,-1.0,1.0,0.009765321452623944,0.0
